<cat21> <cat22>, 0, [2.3529510498046875, 118.91464233398438, 508.34759521484375, 512.0394897460938]
<cat21> <cat22>, 1, [0.102325439453125, 101.02764892578125, 512.1168212890625, 497.76611328125]
<cat21> <cat22>, 2, [-0.1246795654296875, -0.025238037109375, 511.8608093261719, 511.97357177734375]
<cat21> <cat22>, 3, [26.222366333007812, 15.829498291015625, 511.93023681640625, 511.5982971191406]
<cat21> <cat22>, 4, [0.0048828125, -0.0178680419921875, 512.0311279296875, 373.46673583984375]
<cat21> <cat22>, 0, [2.3529510498046875, 118.91464233398438, 508.34759521484375, 512.0394897460938]
<cat21> <cat22>, 1, [0.102325439453125, 101.02764892578125, 512.1168212890625, 497.76611328125]
<cat21> <cat22>, 2, [-0.1246795654296875, -0.025238037109375, 511.8608093261719, 511.97357177734375]
<cat21> <cat22>, 3, [26.222366333007812, 15.829498291015625, 511.93023681640625, 511.5982971191406]
<cat21> <cat22>, 4, [0.0048828125, -0.0178680419921875, 512.0311279296875, 373.46673583984375]
<cat21> <cat22>, 0, [2.3529510498046875, 118.91464233398438, 508.34759521484375, 512.0394897460938]
<cat21> <cat22>, 1, [0.102325439453125, 101.02764892578125, 512.1168212890625, 497.76611328125]
<cat21> <cat22>, 2, [-0.1246795654296875, -0.025238037109375, 511.8608093261719, 511.97357177734375]
<cat21> <cat22>, 3, [26.222366333007812, 15.829498291015625, 511.93023681640625, 511.5982971191406]
<cat21> <cat22>, 4, [0.0048828125, -0.0178680419921875, 512.0311279296875, 373.46673583984375]
