<dog61> <dog62>, 0, [13.511611938476562, 74.65840148925781, 499.12939453125, 425.885986328125]
<dog61> <dog62>, 1, [0.1188201904296875, 17.402450561523438, 511.98394775390625, 500.65887451171875]
<dog61> <dog62>, 2, [13.527969360351562, 14.4180908203125, 508.70184326171875, 494.8241271972656]
<dog61> <dog62>, 3, [0.9025115966796875, 30.734939575195312, 512.2308959960938, 482.9580993652344]
<dog61> <dog62>, 4, [0.1118011474609375, 46.10218811035156, 511.283935546875, 473.1580810546875]
<dog61> <dog62>, 0, [13.511611938476562, 74.65840148925781, 499.12939453125, 425.885986328125]
<dog61> <dog62>, 1, [0.1188201904296875, 17.402450561523438, 511.98394775390625, 500.65887451171875]
<dog61> <dog62>, 2, [13.527969360351562, 14.4180908203125, 508.70184326171875, 494.8241271972656]
<dog61> <dog62>, 3, [0.9025115966796875, 30.734939575195312, 512.2308959960938, 482.9580993652344]
<dog61> <dog62>, 0, [13.511611938476562, 74.65840148925781, 499.12939453125, 425.885986328125]
<dog61> <dog62>, 1, [0.1188201904296875, 17.402450561523438, 511.98394775390625, 500.65887451171875]
<dog61> <dog62>, 2, [13.527969360351562, 14.4180908203125, 508.70184326171875, 494.8241271972656]
<dog61> <dog62>, 3, [0.9025115966796875, 30.734939575195312, 512.2308959960938, 482.9580993652344]
<dog61> <dog62>, 0, [13.511611938476562, 74.65840148925781, 499.12939453125, 425.885986328125]
<dog61> <dog62>, 1, [0.1188201904296875, 17.402450561523438, 511.98394775390625, 500.65887451171875]
<dog61> <dog62>, 2, [13.527969360351562, 14.4180908203125, 508.70184326171875, 494.8241271972656]
<dog61> <dog62>, 3, [0.9025115966796875, 30.734939575195312, 512.2308959960938, 482.9580993652344]
<dog61> <dog62>, 4, [0.1118011474609375, 46.10218811035156, 511.283935546875, 473.1580810546875]
<dog61> <dog62>, 0, [13.511611938476562, 74.65840148925781, 499.12939453125, 425.885986328125]
<dog61> <dog62>, 1, [0.1188201904296875, 17.402450561523438, 511.98394775390625, 500.65887451171875]
<dog61> <dog62>, 2, [13.527969360351562, 14.4180908203125, 508.70184326171875, 494.8241271972656]
<dog61> <dog62>, 3, [0.9025115966796875, 30.734939575195312, 512.2308959960938, 482.9580993652344]
<dog61> <dog62>, 4, [0.1118011474609375, 46.10218811035156, 511.283935546875, 473.1580810546875]
<dog61> <dog62>, 0, [13.511611938476562, 74.65840148925781, 499.12939453125, 425.885986328125]
<dog61> <dog62>, 1, [0.1188201904296875, 17.402450561523438, 511.98394775390625, 500.65887451171875]
<dog61> <dog62>, 2, [13.527969360351562, 14.4180908203125, 508.70184326171875, 494.8241271972656]
<dog61> <dog62>, 3, [0.9025115966796875, 30.734939575195312, 512.2308959960938, 482.9580993652344]
<dog61> <dog62>, 4, [0.1118011474609375, 46.10218811035156, 511.283935546875, 473.1580810546875]
<dog61> <dog62>, 0, [13.511611938476562, 74.65840148925781, 499.12939453125, 425.885986328125]
<dog61> <dog62>, 1, [0.1188201904296875, 17.402450561523438, 511.98394775390625, 500.65887451171875]
<dog61> <dog62>, 2, [13.527969360351562, 14.4180908203125, 508.70184326171875, 494.8241271972656]
<dog61> <dog62>, 3, [0.9025115966796875, 30.734939575195312, 512.2308959960938, 482.9580993652344]
<dog61> <dog62>, 4, [0.1118011474609375, 46.10218811035156, 511.283935546875, 473.1580810546875]
